review_id,restaurant_name,address,cuisine,price_range,dish_mentioned,review_text,rating,sentiment_label,sentiment_score,reviewer,visit_month,visit_year,tags
1,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Best Indian food in Majhitar! The Dal Makhani was cooked to perfection. Highly recommend.,5,positive,0.3663,Reviewer_0001,April,2023,"vegetarian_friendly, spicy, hearty, quick_service"
2,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Super tasty food! The Egg Fried Rice was rich in flavors. Perfect stop for hungry travelers on NH10.,4,positive,0.4166,Reviewer_0002,October,2025,"vegetarian_friendly, spicy, hearty, quick_service"
3,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Absolutely loved the food here! The Aloo Paratha was outstanding and the service was very quick.,5,positive,0.3694,Reviewer_0003,September,2022,"vegetarian_friendly, spicy, hearty, quick_service"
4,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Authentic taste of Punjabi right here in Majhitar. The Egg Fried Rice was spot on. Very satisfied.,5,positive,0.4792,Reviewer_0004,April,2025,"vegetarian_friendly, spicy, hearty, quick_service"
5,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,The Tandoori Chicken was so good we ordered twice! Service was fast and the staff was welcoming.,4,positive,0.5308,Reviewer_0005,December,2025,"vegetarian_friendly, spicy, hearty, quick_service"
6,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Visited with family and everyone loved it. The Aloo Paratha was fresh and tasty. Good value for money.,4,positive,0.5306,Reviewer_0006,February,2022,"vegetarian_friendly, spicy, hearty, quick_service"
7,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Amazing ambiance and even better food! The Dal Makhani was perfectly seasoned. A must visit in Majhitar.,5,positive,0.4129,Reviewer_0007,May,2022,"vegetarian_friendly, spicy, hearty, quick_service"
8,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Super tasty food! The Tandoori Chicken was rich in flavors. Perfect stop for hungry travelers on NH10.,5,positive,0.6486,Reviewer_0008,February,2024,"vegetarian_friendly, spicy, hearty, quick_service"
9,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Loved the cozy atmosphere and the delicious Dal Makhani. The owner was very accommodating.,4,positive,0.7586,Reviewer_0009,April,2022,"vegetarian_friendly, spicy, hearty, quick_service"
10,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Absolutely loved the food here! The Dal Makhani was outstanding and the service was very quick.,5,positive,0.7798,Reviewer_0010,April,2022,"vegetarian_friendly, spicy, hearty, quick_service"
