review_id,restaurant_name,address,cuisine,price_range,dish_mentioned,review_text,rating,sentiment_label,sentiment_score,reviewer,visit_month,visit_year,tags,cleaned_text,filtered_text,review_length,word_count,char_count,avg_word_length,exclamation_count,question_count,positive_word_count,negative_word_count,sentiment_word_ratio,has_negation
1,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Best Indian food in Majhitar! The Dal Makhani was cooked to perfection. Highly recommend.,5,positive,0.3663,Reviewer_0001,April,2023,"vegetarian_friendly, spicy, hearty, quick_service",best indian food in majhitar the dal makhani was cooked to perfection highly recommend,best indian food majhitar dal makhani cooked perfection highly recommend,89,14,86,5.214285714285714,1,0,2,0,0.14285714285714285,0
2,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Super tasty food! The Egg Fried Rice was rich in flavors. Perfect stop for hungry travelers on NH10.,4,positive,0.4166,Reviewer_0002,October,2025,"vegetarian_friendly, spicy, hearty, quick_service",super tasty food the egg fried rice was rich in flavors perfect stop for hungry travelers on nh10,super tasty food egg fried rice rich flavors perfect stop hungry travelers nh10,100,18,97,4.444444444444445,1,0,3,0,0.16666666666666666,0
3,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Absolutely loved the food here! The Aloo Paratha was outstanding and the service was very quick.,5,positive,0.3694,Reviewer_0003,September,2022,"vegetarian_friendly, spicy, hearty, quick_service",absolutely loved the food here the aloo paratha was outstanding and the service was very quick,absolutely loved food aloo paratha outstanding service quick,96,16,94,4.9375,1,0,2,0,0.125,0
4,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Egg Fried Rice,Authentic taste of Punjabi right here in Majhitar. The Egg Fried Rice was spot on. Very satisfied.,5,positive,0.4792,Reviewer_0004,April,2025,"vegetarian_friendly, spicy, hearty, quick_service",authentic taste of punjabi right here in majhitar the egg fried rice was spot on very satisfied,authentic taste punjabi right majhitar egg fried rice spot satisfied,98,17,95,4.647058823529412,0,0,2,0,0.11764705882352941,0
5,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,The Tandoori Chicken was so good we ordered twice! Service was fast and the staff was welcoming.,4,positive,0.5308,Reviewer_0005,December,2025,"vegetarian_friendly, spicy, hearty, quick_service",the tandoori chicken was so good we ordered twice service was fast and the staff was welcoming,tandoori chicken good ordered twice service fast staff welcoming,96,17,94,4.588235294117647,1,0,0,0,0.0,0
6,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Aloo Paratha,Visited with family and everyone loved it. The Aloo Paratha was fresh and tasty. Good value for money.,4,positive,0.5306,Reviewer_0006,February,2022,"vegetarian_friendly, spicy, hearty, quick_service",visited with family and everyone loved it the aloo paratha was fresh and tasty good value for money,visited family everyone loved aloo paratha fresh tasty good value money,102,18,99,4.555555555555555,0,0,3,0,0.16666666666666666,0
7,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Amazing ambiance and even better food! The Dal Makhani was perfectly seasoned. A must visit in Majhitar.,5,positive,0.4129,Reviewer_0007,May,2022,"vegetarian_friendly, spicy, hearty, quick_service",amazing ambiance and even better food the dal makhani was perfectly seasoned a must visit in majhitar,amazing ambiance even better food dal makhani perfectly seasoned must visit majhitar,104,17,101,5.0,1,0,1,0,0.058823529411764705,0
8,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Tandoori Chicken,Super tasty food! The Tandoori Chicken was rich in flavors. Perfect stop for hungry travelers on NH10.,5,positive,0.6486,Reviewer_0008,February,2024,"vegetarian_friendly, spicy, hearty, quick_service",super tasty food the tandoori chicken was rich in flavors perfect stop for hungry travelers on nh10,super tasty food tandoori chicken rich flavors perfect stop hungry travelers nh10,102,17,99,4.882352941176471,1,0,3,0,0.17647058823529413,0
9,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Loved the cozy atmosphere and the delicious Dal Makhani. The owner was very accommodating.,4,positive,0.7586,Reviewer_0009,April,2022,"vegetarian_friendly, spicy, hearty, quick_service",loved the cozy atmosphere and the delicious dal makhani the owner was very accommodating,loved cozy atmosphere delicious dal makhani owner accommodating,90,14,88,5.357142857142857,0,0,2,0,0.14285714285714285,0
10,Punjabi Kitchen,"31a NH10 Highway, Majhitar, Majitar 737136","Indian, Punjabi, North Indian",budget,Dal Makhani,Absolutely loved the food here! The Dal Makhani was outstanding and the service was very quick.,5,positive,0.7798,Reviewer_0010,April,2022,"vegetarian_friendly, spicy, hearty, quick_service",absolutely loved the food here the dal makhani was outstanding and the service was very quick,absolutely loved food dal makhani outstanding service quick,95,16,93,4.875,1,0,2,0,0.125,0
